Dates,Fed,US3Y,US10Y,KRbase,KR3Y,KR10Y,USDKRW,USDKRW12M
09/10/18,1.92,2.75,2.875,1.5,1.912,2.262,1129.4,1113.65
09/07/18,1.92,2.75,2.875,1.5,1.912,2.262,1122.9,1113.04
09/06/18,1.92,2.75,2.875,1.5,1.917,2.275,1123.9,1107.1
09/05/18,1.92,2.75,2.875,1.5,1.898,2.265,1121.15,1104.05
09/04/18,1.92,2.75,2.875,1.5,1.92,2.309,1114.95,1102.67
09/03/18,1.91,2.75,2.875,1.5,1.925,2.302,1110.3,1095.64
08/31/18,1.91,2.75,2.875,1.5,1.91,2.31,1112.9,1099.89
08/30/18,1.92,2.75,2.875,1.5,1.99,2.365,1108.65,1099.59
08/29/18,1.92,2.75,2.875,1.5,1.96,2.365,1110.25,1094.77
08/28/18,1.92,2.75,2.875,1.5,1.965,2.357,1109.95,1092.47
08/27/18,1.92,2.75,2.875,1.5,1.959,2.364,1113.9,1093.45
08/24/18,1.92,2.75,2.875,1.5,1.957,2.377,1119,1098.15
08/23/18,1.92,2.75,2.875,1.5,1.965,2.395,1121.4,1108.28
08/22/18,1.92,2.75,2.875,1.5,1.965,2.402,1119,1101.2
08/21/18,1.92,2.75,2.875,1.5,1.93,2.377,1118.6,1101
08/20/18,1.92,2.75,2.875,1.5,1.983,2.405,1123.2,1101.95
08/17/18,1.92,2.75,2.875,1.5,1.99,2.427,1124.95,1103.69
08/16/18,1.92,2.75,2.875,1.5,2.045,2.47,1130,1111.32
08/15/18,1.91,2.75,2.875,1.5,2.06,2.495,1128.1,1117.85
08/14/18,1.91,2.75,2.875,1.5,2.06,2.495,1128.1,1112.15
08/13/18,1.91,2.75,2.875,1.5,2.052,2.497,1134.05,1120.75
08/10/18,1.91,2.75,2.875,1.5,2.04,2.496,1128.9,1114.28
08/09/18,1.91,2.75,2.875,1.5,2.055,2.517,1117.1,1107.53
08/08/18,1.91,2.75,2.875,1.5,2.067,2.555,1119.95,1101.65
08/07/18,1.91,2.75,2.875,1.5,2.082,2.557,1123.8,1102.2
08/06/18,1.91,2.625,2.875,1.5,2.092,2.565,1123.95,1110.44
08/03/18,1.91,2.625,2.875,1.5,2.102,2.575,1127.7,1108.01
08/02/18,1.91,2.625,2.875,1.5,2.11,2.572,1126.1,1112.8
08/01/18,1.91,2.625,2.875,1.5,2.117,2.585,1120.65,1102.5
07/31/18,1.91,2.625,2.875,1.5,2.125,2.57,1118.7,1097.9
07/30/18,1.91,2.625,2.875,1.5,2.127,2.571,1120.4,1102.75
07/27/18,1.91,2.625,2.875,1.5,2.11,2.57,1118.15,1100.57
07/26/18,1.91,2.625,2.875,1.5,2.067,2.55,1119.45,1108.55
07/25/18,1.91,2.625,2.875,1.5,2.077,2.545,1126.35,1101.34
07/24/18,1.91,2.625,2.875,1.5,2.085,2.57,1135.15,1111.5
07/23/18,1.91,2.625,2.875,1.5,2.077,2.54,1131.35,1117.86
07/20/18,1.91,2.625,2.875,1.5,2.075,2.522,1133.75,1111.51
07/19/18,1.91,2.625,2.875,1.5,2.09,2.54,1133.2,1119.25
07/18/18,1.91,2.625,2.875,1.5,2.085,2.53,1132.35,1114.82
07/17/18,1.91,2.625,2.875,1.5,2.09,2.55,1124.1,1110.71
07/16/18,1.91,2.625,2.875,1.5,2.087,2.543,1129.1,1111.75
07/13/18,1.91,2.625,2.875,1.5,2.102,2.557,1123.45,1114.05
07/12/18,1.91,2.625,2.875,1.5,2.09,2.547,1125.95,1108.96
07/11/18,1.91,2.625,2.875,1.5,2.047,2.507,1120.05,1112.76
07/10/18,1.91,2.625,2.875,1.5,2.092,2.55,1116.3,1098.55
07/09/18,1.91,2.625,2.875,1.5,2.105,2.557,1112.2,1097.6
07/06/18,1.91,2.625,2.875,1.5,2.097,2.555,1116,1099.16
07/05/18,1.91,2.625,2.875,1.5,2.09,2.549,1118.5,1103.2
07/04/18,1.91,2.625,2.875,1.5,2.11,2.549,1114.55,1100.32
07/03/18,1.91,2.625,2.875,1.5,2.137,2.577,1118.7,1098.75
07/02/18,1.91,2.625,2.875,1.5,2.122,2.53,1120.1,1102.5
06/29/18,1.91,2.625,2.875,1.5,2.122,2.555,1114.6,1098.29
06/28/18,1.91,2.625,2.875,1.5,2.115,2.56,1124,1104.82
06/27/18,1.91,2.625,2.875,1.5,2.12,2.575,1117.6,1107.04
06/26/18,1.92,2.625,2.875,1.5,2.14,2.608,1114.75,1101.84
06/25/18,1.92,2.625,2.875,1.5,2.137,2.6,1117.15,1098.8
06/22/18,1.92,2.625,2.875,1.5,2.147,2.613,1107.55,1095.63
06/21/18,1.92,2.625,2.875,1.5,2.145,2.595,1112.45,1093.95
06/20/18,1.92,2.625,2.875,1.5,2.16,2.612,1105.2,1092.79
06/19/18,1.91,2.625,2.875,1.5,2.155,2.612,1109.1,1095.49
06/18/18,1.9,2.625,2.875,1.5,2.177,2.65,1104.9,1087.87
06/15/18,1.9,2.625,2.875,1.5,2.192,2.677,1097.75,1087.49
06/14/18,1.9,2.625,2.875,1.5,2.225,2.71,1083.05,1073.2
06/13/18,1.7,2.625,2.875,1.5,2.215,2.715,1077.2,1068.85
06/12/18,1.7,2.625,2.875,1.5,2.215,2.715,1077.2,1065.7
06/11/18,1.7,2.625,2.875,1.5,2.222,2.73,1075.15,1060.48
06/08/18,1.7,2.625,2.875,1.5,2.18,2.707,1075.85,1058.83
06/07/18,1.7,2.625,2.875,1.5,2.212,2.752,1069.1,1056.1
06/06/18,1.7,2.625,2.875,1.5,2.202,2.717,1070.85,1051.11
06/05/18,1.7,2.625,2.875,1.5,2.202,2.717,1070.85,1055.87
06/04/18,1.7,2.625,2.875,1.5,2.21,2.735,1071.95,1053.55
06/01/18,1.7,2.625,2.875,1.5,2.187,2.702,1075,1054.66
05/31/18,1.7,2.625,2.875,1.5,2.195,2.695,1077.78,1063.84
05/30/18,1.7,2.625,2.875,1.5,2.192,2.695,1080.9,1060.56
05/29/18,1.7,2.625,2.875,1.5,2.187,2.687,1076.75,1067.27
05/28/18,1.7,2.625,2.875,1.5,2.202,2.722,1074,1058.63
05/25/18,1.7,2.625,2.875,1.5,2.202,2.72,1077.9,1061.87
05/24/18,1.7,2.625,2.875,1.5,2.19,2.72,1079.65,1064.8
05/23/18,1.7,2.625,2.875,1.5,2.225,2.74,1080.55,1060.65
05/22/18,1.7,2.625,2.875,1.5,2.249,2.765,1085.45,1060.43
05/21/18,1.7,2.625,2.875,1.5,2.249,2.765,1085.45,1061.9
05/18/18,1.7,2.625,2.875,1.5,2.22,2.75,1077.6,1064.8
05/17/18,1.7,2.625,2.875,1.5,2.265,2.797,1081.2,1067
05/16/18,1.7,2.625,2.875,1.5,2.278,2.782,1077.8,1062.94
05/15/18,1.7,2.625,2.875,1.5,2.308,2.815,1073.7,1065.46
05/14/18,1.7,2.625,2.875,1.5,2.305,2.792,1067.9,1055.11
05/11/18,1.7,2.625,2.875,1.5,2.282,2.785,1069.4,1052
05/10/18,1.7,2.625,2.875,1.5,2.275,2.777,1073.05,1049.69
05/09/18,1.7,2.625,2.875,1.5,2.3,2.8,1080.95,1062.82
05/08/18,1.7,2.625,2.75,1.5,2.302,2.775,1076.5,1062.62
05/07/18,1.7,2.375,2.75,1.5,2.28,2.762,1077.15,1063.7
05/04/18,1.7,2.375,2.75,1.5,2.28,2.762,1077.15,1058.33
05/03/18,1.7,2.375,2.75,1.5,2.25,2.757,1076.25,1059.2
05/02/18,1.7,2.375,2.75,1.5,2.237,2.747,1076.1,1063.02
05/01/18,1.7,2.375,2.75,1.5,2.217,2.717,1068.15,1058.1
04/30/18,1.69,2.375,2.75,1.5,2.217,2.717,1068.15,1055
04/27/18,1.7,2.375,2.75,1.5,2.2,2.695,1076.65,1052.13
04/26/18,1.7,2.375,2.75,1.5,2.222,2.74,1080.9,1062.49
04/25/18,1.7,2.375,2.75,1.5,2.247,2.767,1080.6,1066.74
04/24/18,1.7,2.375,2.75,1.5,2.22,2.72,1076.85,1061.6
04/23/18,1.7,2.375,2.75,1.5,2.232,2.722,1068.9,1065.27
04/20/18,1.7,2.375,2.75,1.5,2.192,2.665,1067.15,1055.74
04/19/18,1.69,2.375,2.75,1.5,2.187,2.64,1061.5,1052.65
04/18/18,1.69,2.375,2.75,1.5,2.19,2.642,1068.6,1050.55
04/17/18,1.69,2.375,2.75,1.5,2.177,2.632,1067.1,1051.28
04/16/18,1.69,2.375,2.75,1.5,2.17,2.63,1073.95,1055.82
04/13/18,1.69,2.375,2.75,1.5,2.155,2.607,1069.6,1056.6
04/12/18,1.69,2.375,2.75,1.5,2.15,2.578,1069.55,1056.08
04/11/18,1.69,2.375,2.75,1.5,2.157,2.582,1066.4,1051.73
04/10/18,1.69,2.375,2.75,1.5,2.18,2.607,1066.5,1049.88
04/09/18,1.69,2.375,2.75,1.5,2.17,2.61,1067.15,1055.52
04/06/18,1.69,2.375,2.75,1.5,2.162,2.602,1069.7,1057.1
04/05/18,1.69,2.375,2.75,1.5,2.17,2.637,1060,1048.78
04/04/18,1.69,2.375,2.75,1.5,2.16,2.61,1059.7,1044.35
